Email,Sources
software.ac.uk,26 Jan 2014
ed.ac.uk,4 Feb 2014
sdf.org,7 Feb 2014
software.ac.uk,11 Feb 2014
gmail.com,24 Feb 2014
leeds.ac.uk,25 Feb 2014
stfc.ac.uk,25 Feb 2014
leeds.ac.uk,26 Feb 2014
sgul.ac.uk,10 Mar 2014
gmail.com,10 Mar 2014
ucl.ac.uk,10 Mar 2014
ucl.ac.uk,10 Mar 2014
gmail.com,10 Mar 2014
gmail.com,10 Mar 2014
ucl.ac.uk,10 Mar 2014
software.ac.uk,10 Mar 2014
hotmail.com,10 Mar 2014
manchester.ac.uk,10 Mar 2014
ucl.ac.uk,10 Mar 2014
fortawesome.org,10 Mar 2014
gmail.com,10 Mar 2014
gmail.com,10 Mar 2014
rvc.ac.uk,10 Mar 2014
ucl.ac.uk,10 Mar 2014
epcc.ed.ac.uk,10 Mar 2014
ucl.ac.uk,10 Mar 2014
gmail.com,10 Mar 2014
ucl.ac.uk,10 Mar 2014
sheffield.ac.uk,11 Mar 2014
bioinf.org.uk,11 Mar 2014
warwick.ac.uk,11 Mar 2014
imperial.ac.uk,11 Mar 2014
kcl.ac.uk,11 Mar 2014
nuigalway.ie,11 Mar 2014
soton.ac.uk,11 Mar 2014
ucl.ac.uk,11 Mar 2014
vanderbilt.edu,11 Mar 2014
ucl.ac.uk,11 Mar 2014
ucl.ac.uk,11 Mar 2014
cantab.net,11 Mar 2014
napier.ac.uk,11 Mar 2014
tgac.ac.uk,11 Mar 2014
gmail.com,11 Mar 2014
ucl.ac.uk,12 Mar 2014
cs.ox.ac.uk,12 Mar 2014
ucl.ac.uk,12 Mar 2014
jic.ac.uk,12 Mar 2014
gmail.com,12 Mar 2014
ucl.ac.uk,12 Mar 2014
leeds.ac.uk,13 Mar 2014
hutton.ac.uk,13 Mar 2014
hutton.ac.uk,13 Mar 2014
microsoft.com,13 Mar 2014
soton.ac.uk,14 Mar 2014
rolls-royce.com,14 Mar 2014
gmail.com,14 Mar 2014
gmail.com,14 Mar 2014
gmail.com,14 Mar 2014
reading.ac.uk,17 Mar 2014
epcc.ed.ac.uk,17 Mar 2014
epcc.ed.ac.uk,17 Mar 2014
epcc.ed.ac.uk,17 Mar 2014
it.ox.ac.uk,17 Mar 2014
gmail.com,17 Mar 2014
stfc.ac.uk,17 Mar 2014
cam.ac.uk,17 Mar 2014
northumbria.ac.uk,17 Mar 2014
plymouth.ac.uk,17 Mar 2014
gmail.com,17 Mar 2014
epcc.ed.ac.uk,17 Mar 2014
orange.fr,17 Mar 2014
nottingham.ac.uk,18 Mar 2014
gmail.com,18 Mar 2014
gmail.com,18 Mar 2014
roe.ac.uk,18 Mar 2014
gmail.com,18 Mar 2014
reading.ac.uk,18 Mar 2014
googlemail.com,18 Mar 2014
gmail.com,18 Mar 2014
cs.sfu.ca,18 Mar 2014
roe.ac.uk,18 Mar 2014
gmail.com,18 Mar 2014
roe.ac.uk,18 Mar 2014
kcl.ac.uk,18 Mar 2014
theanthillsocial.co.uk,18 Mar 2014
aya.yale.edu,18 Mar 2014
ph.ed.ac.uk,19 Mar 2014
st-andrews.ac.uk,19 Mar 2014
gmail.com,19 Mar 2014
ucdconnect.ie,19 Mar 2014
gmail.com,19 Mar 2014
flymine.org,19 Mar 2014
bmpvieira.com,19 Mar 2014
gmail.com,19 Mar 2014
manuelcorpas.com,19 Mar 2014
clemson.edu,19 Mar 2014
gmail.com,19 Mar 2014
mit.edu,19 Mar 2014
roe.ac.uk,19 Mar 2014
flymine.org,19 Mar 2014
gmail.com,19 Mar 2014
unil.ch,19 Mar 2014
stfc.ac.uk,19 Mar 2014
icloud.com,19 Mar 2014
manchester.ac.uk,20 Mar 2014
gmail.com,20 Mar 2014
bangor.ac.uk,20 Mar 2014
soton.ac.uk,20 Mar 2014
gmail.com,20 Mar 2014
gmail.com,20 Mar 2014
gmail.com,20 Mar 2014
ed.ac.uk,20 Mar 2014
ed.ac.uk,21 Mar 2014
ieee.org,21 Mar 2014
unil.ch,21 Mar 2014
ouce.ox.ac.uk,21 Mar 2014
gmail.com,25 Mar 2014
gmail.com,26 Mar 2014
gmail.com,26 Mar 2014
gmail.com,26 Mar 2014
gmail.com,28 Mar 2014
stfc.ac.uk,2 Apr 2014
reading.ac.uk,3 Apr 2014
kcl.ac.uk,3 Apr 2014
imperial.ac.uk,10 Apr 2014
leicester.ac.uk,11 Apr 2014
gmail.com,14 Apr 2014
gmail.com,14 Apr 2014
manchester.ac.uk,15 Apr 2014
manchester.ac.uk,28 Apr 2014
anjackson.net,29 Apr 2014
gmail.com,1 May 2014
software.ac.uk,2 May 2014
cs.manchester.ac.uk,2 May 2014
gmail.com,8 May 2014
gmail.com,12 May 2014
epcc.ed.ac.uk,30 May 2014
ebi.ac.uk,30 May 2014
googlemail.com,31 May 2014
gmail.com,3 Jun 2014
ucl.ac.uk,3 Jun 2014
ucl.ac.uk,3 Jun 2014
diamond.ac.uk,24 Jun 2014
ucl.ac.uk,27 Jun 2014
cardiff.ac.uk,1 Jul 2014
ecs.soton.ac.uk,2 Jul 2014
gmail.com,4 Jul 2014
tgac.ac.uk,24 Jul 2014
oneis.co.uk,25 Jul 2014
thearete.co.uk,25 Jul 2014
gmail.com,26 Jul 2014
unistra.fr,8 Aug 2014
ucl.ac.uk,20 Aug 2014
ucl.ac.uk,20 Aug 2014
nopcode.org,25 Aug 2014
st-andrews.ac.uk,26 Aug 2014
st-andrews.ac.uk,26 Aug 2014
gmail.com,1 Sep 2014
ucl.ac.uk,2 Sep 2014
hud.ac.uk,4 Sep 2014
gmail.com,5 Sep 2014
gmail.com,5 Sep 2014
yougov.com,5 Sep 2014
cisco.com,8 Sep 2014
stfc.ac.uk,16 Sep 2014
manchester.ac.uk,23 Sep 2014
gmail.com,23 Sep 2014
scilifelab.se,23 Sep 2014
gmail.com,29 Sep 2014
gmail.com,29 Sep 2014
open.ac.uk,2 Oct 2014
gmail.com,7 Oct 2014
bristol.ac.uk,7 Oct 2014
sheffield.ac.uk,9 Oct 2014
geo.uni-mainz.de,29 Oct 2014
durham.ac.uk,30 Oct 2014
durham.ac.uk,3 Nov 2014
york.ac.uk,5 Nov 2014
gmail.com,9 Nov 2014
dkfz-heidelberg.de,12 Nov 2014
tgac.ac.uk,13 Nov 2014
tgac.ac.uk,13 Nov 2014
nhs.net,25 Nov 2014
manchester.ac.uk,4 Dec 2014
gfz-potsdam.de,18 Dec 2014
googlemail.com,7 Jan 2015
qmul.ac.uk,10 Jan 2015
ucl.ac.uk,12 Jan 2015
gmail.com,22 Jan 2015
senktec.com,29 Jan 2015
hull.ac.uk,29 Jan 2015
googlemail.com,30 Jan 2015
mac.com,30 Jan 2015
nottingham.ac.uk,30 Jan 2015
pml.ac.uk,30 Jan 2015
chem.ox.ac.uk,30 Jan 2015
dundee.ac.uk,30 Jan 2015
reading.ac.uk,30 Jan 2015
parois.net,2 Feb 2015
jic.ac.uk,3 Feb 2015
software.ac.uk,6 Feb 2015
dundee.ac.uk,13 Feb 2015
gmail.com,16 Feb 2015
osc.edu,20 Feb 2015
gmail.com,27 Feb 2015
rezozer.net,4 Mar 2015
cardiff.ac.uk,10 Mar 2015
bristol.ac.uk,12 Mar 2015
open.ac.uk,18 Mar 2015
gmail.com,25 Mar 2015
rahul.se,6 Apr 2015
ccfe.ac.uk,14 Apr 2015
urvishah.co.uk,22 Apr 2015
lanl.gov,6 May 2015
bpi.cam.ac.uk,6 May 2015
psy.ox.ac.uk,7 May 2015
gmail.com,8 May 2015
tgac.ac.uk,8 May 2015
gmail.com,11 May 2015
bristol.ac.uk,12 May 2015
bristol.ac.uk,12 May 2015
sheffield.ac.uk,13 May 2015
sheffield.ac.uk,14 May 2015
lancaster.ac.uk,14 May 2015
ucl.ac.uk,14 May 2015
ccdc.cam.ac.uk,14 May 2015
bristol.ac.uk,14 May 2015
googlemail.com,14 May 2015
gmail.com,15 May 2015
imperial.ac.uk,15 May 2015
warwick.ac.uk,15 May 2015
gmail.com,15 May 2015
zooniverse.org,18 May 2015
aber.ac.uk,18 May 2015
manchester.ac.uk,18 May 2015
gmail.com,19 May 2015
imperial.ac.uk,20 May 2015
warwick.ac.uk,20 May 2015
nottingham.ac.uk,21 May 2015
ucl.ac.uk,21 May 2015
cs.ucl.ac.uk,22 May 2015
surrey.ac.uk,26 May 2015
ninepointeightone.net,27 May 2015
cranfield.ac.uk,27 May 2015
liverpool.ac.uk,27 May 2015
soton.ac.uk,27 May 2015
me.com,28 May 2015
googlemail.com,28 May 2015
strath.ac.uk,1 Jun 2015
imperial.ac.uk,3 Jun 2015
arm.com,3 Jun 2015
sheffield.ac.uk,4 Jun 2015
gmail.com,4 Jun 2015
bodc.ac.uk,5 Jun 2015
yahoo.co.uk,5 Jun 2015
gmail.com,6 Jun 2015
ucl.ac.uk,7 Jun 2015
imperial.ac.uk,9 Jun 2015
manchester.ac.uk,11 Jun 2015
dundee.ac.uk,12 Jun 2015
gmail.com,14 Jun 2015
gmail.com,16 Jun 2015
gmail.com,17 Jun 2015
ucl.ac.uk,23 Jun 2015
leeds.ac.uk,23 Jun 2015
imperial.ac.uk,24 Jun 2015
gmail.com,24 Jun 2015
leeds.ac.uk,25 Jun 2015
cornell.edu,29 Jun 2015
sheffield.ac.uk,29 Jun 2015
bristol.ac.uk,30 Jun 2015
star.sr.bham.ac.uk,3 Jul 2015
ucl.ac.uk,3 Jul 2015
cam.ac.uk,3 Jul 2015
imperial.ac.uk,7 Jul 2015
glasgow.ac.uk,7 Jul 2015
hotmail.co.uk,8 Jul 2015
gmail.com,9 Jul 2015
epcc.ed.ac.uk,13 Jul 2015
bristol.ac.uk,14 Jul 2015
oerc.ox.ac.uk,14 Jul 2015
mmu.ac.uk,15 Jul 2015
cam.ac.uk,19 Jul 2015
gmail.com,19 Jul 2015
kcl.ac.uk,27 Jul 2015
kcl.ac.uk,12 Aug 2015
rtwilson.com,14 Aug 2015
vousden.me.uk,27 Aug 2015
swansea.ac.uk,2 Sep 2015
internet2.edu,6 Sep 2015
sheffield.ac.uk,11 Sep 2015
web.de,20 Sep 2015
gmail.com,21 Sep 2015
manchester.ac.uk,22 Sep 2015
bristol.ac.uk,23 Sep 2015
jamesscottbrown.com,26 Sep 2015
stfc.ac.uk,7 Oct 2015
stfc.ac.uk,8 Oct 2015
bristol.ac.uk,8 Oct 2015
vectorcast.com,12 Oct 2015
gmail.com,18 Oct 2015
gmail.com,19 Oct 2015
ucl.ac.uk,20 Oct 2015
kew.org,21 Oct 2015
gmail.com,22 Oct 2015
sheffield.ac.uk,30 Oct 2015
stuartcampbell.me,6 Nov 2015
gmail.com,11 Nov 2015
cornell.edu,12 Nov 2015
mq.edu.au,13 Nov 2015
bak.io,13 Nov 2015
kent.ac.uk,13 Nov 2015
stanford.edu,13 Nov 2015
hyraxbio.co.za,17 Nov 2015
noc.ac.uk,20 Nov 2015
crick.ac.uk,26 Nov 2015
hotmail.co.uk,2 Dec 2015
yahoo.com,9 Dec 2015
asc.upenn.edu,14 Dec 2015
outlook.com,26 Dec 2015
newcastle.ac.uk,2 Jan 2016
cmft.nhs.uk,6 Jan 2016
mib.infn.it,7 Jan 2016
lancaster.ac.uk,7 Jan 2016
gmail.com,13 Jan 2016
diamond.ac.uk,13 Jan 2016
ucl.ac.uk,19 Jan 2016
gene.com,20 Jan 2016
glasgow.ac.uk,2 Feb 2016
auckland.ac.nz,3 Feb 2016
nag.co.uk,8 Feb 2016
stfc.ac.uk,8 Feb 2016
it-innovation.soton.ac.uk,10 Feb 2016
metacell.us,11 Feb 2016
yahoo.com,15 Feb 2016
ctsu.ox.ac.uk,18 Feb 2016
gmail.com,19 Feb 2016
gmail.com,21 Feb 2016
northumbria.ac.uk,22 Feb 2016
st-andrews.ac.uk,23 Feb 2016
auckland.ac.nz,24 Feb 2016
tawn.co.uk,2 Mar 2016
plants.ox.ac.uk,8 Mar 2016
physics.ox.ac.uk,8 Mar 2016
gmail.com,8 Mar 2016
ctsu.ox.ac.uk,8 Mar 2016
manchester.ac.uk,8 Mar 2016
gmail.com,10 Mar 2016
ukaea.uk,14 Mar 2016
soton.ac.uk,17 Mar 2016
metoffice.gov.uk,18 Mar 2016
yahoo.com,18 Mar 2016
epcc.ed.ac.uk,29 Mar 2016
epcc.ed.ac.uk,29 Mar 2016
staffmail.ed.ac.uk,29 Mar 2016
epcc.ed.ac.uk,29 Mar 2016
gmail.com,29 Mar 2016
nag.co.uk,1 Apr 2016
nottingham.ac.uk,4 Apr 2016
turing.ac.uk,5 Apr 2016
gmail.com,7 Apr 2016
warwick.ac.uk,8 Apr 2016
nag.co.uk,12 Apr 2016
hotmail.com,17 Apr 2016
qmul.ac.uk,20 Apr 2016
qut.edu.au,22 Apr 2016
ucl.ac.uk,23 Apr 2016
gmail.com,26 Apr 2016
ukaea.uk,28 Apr 2016
ajou.ac.kr,3 May 2016
stfc.ac.uk,4 May 2016
bristol.ac.uk,5 May 2016
bristol.ac.uk,5 May 2016
ed.ac.uk,6 May 2016
staffmail.ed.ac.uk,6 May 2016
physics.ox.ac.uk,8 May 2016
bristol.ac.uk,9 May 2016
bristol.ac.uk,9 May 2016
dundee.ac.uk,9 May 2016
ncas.ac.uk,9 May 2016
gmail.com,9 May 2016
hud.ac.uk,9 May 2016
nottingham.ac.uk,9 May 2016
dundee.ac.uk,9 May 2016
manchester.ac.uk,10 May 2016
ast.cam.ac.uk,10 May 2016
imperial.ac.uk,10 May 2016
glencoesoftware.com,10 May 2016
