"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","MLN_USD","A","1960",25034.74,
"AUS","GDP","TOT","MLN_USD","A","1961",25326.382,
"AUS","GDP","TOT","MLN_USD","A","1962",27913.206,
"AUS","GDP","TOT","MLN_USD","A","1963",30385.723,
"AUS","GDP","TOT","MLN_USD","A","1964",32694.467,
"AUS","GDP","TOT","MLN_USD","A","1965",34489.925,
"AUS","GDP","TOT","MLN_USD","A","1966",38285.311,
"AUS","GDP","TOT","MLN_USD","A","1967",41004.016,
"AUS","GDP","TOT","MLN_USD","A","1968",46488.435,
"AUS","GDP","TOT","MLN_USD","A","1969",52131.937,
"AUS","GDP","TOT","MLN_USD","A","1970",58744.34,
"AUS","GDP","TOT","MLN_USD","A","1971",64010.806,
"AUS","GDP","TOT","MLN_USD","A","1972",69668.594,
"AUS","GDP","TOT","MLN_USD","A","1973",78686.076,
"AUS","GDP","TOT","MLN_USD","A","1974",86151.644,
"AUS","GDP","TOT","MLN_USD","A","1975",96661.704,
"AUS","GDP","TOT","MLN_USD","A","1976",104080.336,
"AUS","GDP","TOT","MLN_USD","A","1977",110058.274,
"AUS","GDP","TOT","MLN_USD","A","1978",123095.292,
"AUS","GDP","TOT","MLN_USD","A","1979",137701.362,
"AUS","GDP","TOT","MLN_USD","A","1980",154717.933,
"AUS","GDP","TOT","MLN_USD","A","1981",177931.547,
"AUS","GDP","TOT","MLN_USD","A","1982",181564.899,
"AUS","GDP","TOT","MLN_USD","A","1983",196115.518,
"AUS","GDP","TOT","MLN_USD","A","1984",211311.621,
"AUS","GDP","TOT","MLN_USD","A","1985",228472.123,
"AUS","GDP","TOT","MLN_USD","A","1986",239508.922,
"AUS","GDP","TOT","MLN_USD","A","1987",260412.507,
"AUS","GDP","TOT","MLN_USD","A","1988",282412.35,
"AUS","GDP","TOT","MLN_USD","A","1989",299026.106,
"AUS","GDP","TOT","MLN_USD","A","1990",303558.077,
"AUS","GDP","TOT","MLN_USD","A","1991",313289.627,
"AUS","GDP","TOT","MLN_USD","A","1992",333775.484,
"AUS","GDP","TOT","MLN_USD","A","1993",354812.07,
