"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","RESEARCHER","TOT","1000EMPLOYED","A","1981",3.78998106731616,
"AUS","RESEARCHER","TOT","1000EMPLOYED","A","1984",4.3545390122115,
"AUS","RESEARCHER","TOT","1000EMPLOYED","A","1985",4.36026925458317,
"AUS","RESEARCHER","TOT","1000EMPLOYED","A","1986",4.99015900584875,
"AUS","RESEARCHER","TOT","1000EMPLOYED","A","1987",5.08786435612336,
"AUS","RESEARCHER","TOT","1000EMPLOYED","A","1988",5.30853716314332,
"AUS","RESEARCHER","TOT","1000EMPLOYED","A","1990",5.56259067585812,
"AUS","RESEARCHER","TOT","1000EMPLOYED","A","1992",6.87354558031691,
"AUS","RESEARCHER","TOT","1000EMPLOYED","A","1994",7.09136626581078,
"AUS","RESEARCHER","TOT","1000EMPLOYED","A","1996",7.3539079558559,
"AUS","RESEARCHER","TOT","1000EMPLOYED","A","1998",7.35848484589549,
"AUS","RESEARCHER","TOT","1000EMPLOYED","A","2000",7.38479846864906,
"AUS","RESEARCHER","TOT","1000EMPLOYED","A","2002",7.87024279623199,
"AUS","RESEARCHER","TOT","1000EMPLOYED","A","2004",8.38963606143882,
"AUS","RESEARCHER","TOT","1000EMPLOYED","A","2006",8.50816003197158,
"AUS","RESEARCHER","TOT","1000EMPLOYED","A","2008",8.61222172356725,
"AUS","RESEARCHER","TOT","1000EMPLOYED","A","2010",9.03394195740042,
"AUT","RESEARCHER","TOT","1000EMPLOYED","A","1981",1.97919252955077,
"AUT","RESEARCHER","TOT","1000EMPLOYED","A","1985",2.27823784336,
"AUT","RESEARCHER","TOT","1000EMPLOYED","A","1989",2.55135169055375,
"AUT","RESEARCHER","TOT","1000EMPLOYED","A","1993",3.58597172114056,
"AUT","RESEARCHER","TOT","1000EMPLOYED","A","1998",5.10756987333965,
"AUT","RESEARCHER","TOT","1000EMPLOYED","A","2002",6.38477336848067,
"AUT","RESEARCHER","TOT","1000EMPLOYED","A","2004",6.78244599955054,
"AUT","RESEARCHER","TOT","1000EMPLOYED","A","2005",7.35097730382917,
"AUT","RESEARCHER","TOT","1000EMPLOYED","A","2006",7.40946474384188,
"AUT","RESEARCHER","TOT","1000EMPLOYED","A","2007",7.89377805135158,
"AUT","RESEARCHER","TOT","1000EMPLOYED","A","2008",8.43903226358663,
"AUT","RESEARCHER","TOT","1000EMPLOYED","A","2009",8.5221143208359,
"AUT","RESEARCHER","TOT","1000EMPLOYED","A","2010",8.92606772224947,
"AUT","RESEARCHER","TOT","1000EMPLOYED","A","2011",8.91740650416272,
"AUT","RESEARCHER","TOT","1000EMPLOYED","A","2012",9.44094873916807,
"AUT","RESEARCHER","TOT","1000EMPLOYED","A","2013",9.58004820167924,
"AUT","RESEARCHER","TOT","1000EMPLOYED","A","2014",10.0065729242471,
"AUT","RESEARCHER","TOT","1000EMPLOYED","A","2015",10.1648800384549,
"AUT","RESEARCHER","TOT","1000EMPLOYED","A","2016",10.8244708418849,
"AUT","RESEARCHER","TOT","1000EMPLOYED","A","2017",10.7679967007842,
