"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDEXPRD","TOT","MLN_USD","A","1981",3538.81736562443,
"AUS","GDEXPRD","TOT","MLN_USD","A","1984",4320.86160797383,
"AUS","GDEXPRD","TOT","MLN_USD","A","1986",5309.00393622249,
"AUS","GDEXPRD","TOT","MLN_USD","A","1987",5416.78209265671,
"AUS","GDEXPRD","TOT","MLN_USD","A","1988",5753.76523950184,
"AUS","GDEXPRD","TOT","MLN_USD","A","1990",6426.89191853543,
"AUS","GDEXPRD","TOT","MLN_USD","A","1992",7790.99771296576,
"AUS","GDEXPRD","TOT","MLN_USD","A","1994",8685.97987789705,
"AUS","GDEXPRD","TOT","MLN_USD","A","1996",9838.45357035997,
"AUS","GDEXPRD","TOT","MLN_USD","A","1998",9818.69368403776,
"AUS","GDEXPRD","TOT","MLN_USD","A","2000",10686.7011096655,
"AUS","GDEXPRD","TOT","MLN_USD","A","2002",12778.7454644607,
"AUS","GDEXPRD","TOT","MLN_USD","A","2004",14403.3851741285,
"AUS","GDEXPRD","TOT","MLN_USD","A","2006",17798.9409546553,
"AUS","GDEXPRD","TOT","MLN_USD","A","2008",21073.9091260826,
"AUS","GDEXPRD","TOT","MLN_USD","A","2010",21417.1540739168,
"AUS","GDEXPRD","TOT","MLN_USD","A","2011",21560.0222279693,
"AUS","GDEXPRD","TOT","MLN_USD","A","2013",22461.5550456802,
"AUS","GDEXPRD","TOT","MLN_USD","A","2015",21151.5170249401,
"AUS","GDEXPRD","TOT","MLN_USD","A","2017",21218.1695973466,
"AUS","GDEXPRD","TOT","PC_GDP","A","1981",0.90254763287665,
"AUS","GDEXPRD","TOT","PC_GDP","A","1984",1.02390923173825,
"AUS","GDEXPRD","TOT","PC_GDP","A","1986",1.1791409411007,
"AUS","GDEXPRD","TOT","PC_GDP","A","1987",1.13776282071074,
"AUS","GDEXPRD","TOT","PC_GDP","A","1988",1.16357531745622,
"AUS","GDEXPRD","TOT","PC_GDP","A","1990",1.25989799217329,
"AUS","GDEXPRD","TOT","PC_GDP","A","1992",1.46212138298112,
"AUS","GDEXPRD","TOT","PC_GDP","A","1994",1.50973214953687,
"AUS","GDEXPRD","TOT","PC_GDP","A","1996",1.58339164870311,
"AUS","GDEXPRD","TOT","PC_GDP","A","1998",1.43809230481455,
"AUS","GDEXPRD","TOT","PC_GDP","A","2000",1.47746452105193,
"AUS","GDEXPRD","TOT","PC_GDP","A","2002",1.64947063523772,
"AUS","GDEXPRD","TOT","PC_GDP","A","2004",1.73124480279627,
"AUS","GDEXPRD","TOT","PC_GDP","A","2006",2.0041726755096,
"AUS","GDEXPRD","TOT","PC_GDP","A","2008",2.24570188351341,
"AUS","GDEXPRD","TOT","PC_GDP","A","2010",2.18230410088224,
"AUS","GDEXPRD","TOT","PC_GDP","A","2011",2.11403053636714,
"AUS","GDEXPRD","TOT","PC_GDP","A","2013",2.09389251374701,
"AUS","GDEXPRD","TOT","PC_GDP","A","2015",1.8774454842917,
"AUS","GDEXPRD","TOT","PC_GDP","A","2017",1.78725106493394,
"AUT","GDEXPRD","TOT","MLN_USD","A","1981",2366.6811807466,
"AUT","GDEXPRD","TOT","MLN_USD","A","1982",2515.24466058108,
"AUT","GDEXPRD","TOT","MLN_USD","A","1983",2610.95312050375,
"AUT","GDEXPRD","TOT","MLN_USD","A","1984",2726.64537845554,
"AUT","GDEXPRD","TOT","MLN_USD","A","1985",2799.47470091137,
"AUT","GDEXPRD","TOT","MLN_USD","A","1986",2958.10436269671,
"AUT","GDEXPRD","TOT","MLN_USD","A","1987",3016.57877515613,
"AUT","GDEXPRD","TOT","MLN_USD","A","1988",3216.40310991818,
"AUT","GDEXPRD","TOT","MLN_USD","A","1989",3394.22704797459,
"AUT","GDEXPRD","TOT","MLN_USD","A","1990",3667.57692074556,
"AUT","GDEXPRD","TOT","MLN_USD","A","1991",4009.60875273093,
"AUT","GDEXPRD","TOT","MLN_USD","A","1992",4056.6317418676,
"AUT","GDEXPRD","TOT","MLN_USD","A","1993",4126.50896262937,
"AUT","GDEXPRD","TOT","MLN_USD","A","1994",4457.23831392232,
"AUT","GDEXPRD","TOT","MLN_USD","A","1995",4636.90418886338,
"AUT","GDEXPRD","TOT","MLN_USD","A","1996",4904.11634002615,
