Group,Location,Head of RSE,No. of RSEs Jan 2020,Founded
Alan Turing Institute,NW1 2DB,Martin O'Reilly,29,2016
UKAEA,OX14 3EB,Alys Brett,9,2019
"Swansea Academy of Advanced Computing, Swansea University",SA1 8EN,Ed Bennett/Mark Dawson,5,2017
Francis Crick Institute,NW1 1AT,Wei Xing,4,
University College London,WC1E 6BT,Jonathan Cooper,20,2013
University of Oxford,OX1 3QD,David Gavaghan,4.5,2019
University of Cambridge,CB2 1TN,Jeffrey Salmond,6,2015
University of Bristol,BS8 1TH,Christopher Woods,7,2016
Imperial College London,SW7 2AZ,Mark Woodbridge,5,2017
University of Edinburgh,EH8 9BT,Lorna Smith/Andy Turner,68,1990
University of Manchester,M13 9PL,Robert Haines,24,2014
University of Leeds,LS2 9JT,Martin Callaghan,8,2019
University of Birmingham,B15 2TT,Ed Edmondson,9,2017
University of Sheffield,S10 2TN,Paul Richmond,10,2015
King's College London,WC2R 2LS,James Smithies,16,2015
Newcastle University,NE1 7RU,Mark Turner,10,2019
University of Nottingham,NG7 2RD,Philip Quinlan,20,2012
Cardiff University,CF10 3AT,Owain Huw,9,2017
University of Southampton,SO17 1BJ,Simon Hettrick and John Robinson,6,2015
Durham University,DH1 3LE,,4,2018
University of Bath,BA2 7AY,James Grant,2,2017
University of Reading,RG6 6AH,Paul Heaton & Maria Broadbridge,2,2019
University of St Andrews,KY16 9AL,Patrick McCann/Swithun Crowe/ Mary Woodcock Kroble/Alexander Konovalov,3.5,2012
Queen Mary University of London,E1 4NS,Iain Barrass,3,2014
