"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AVWAGE","TOT","USD","A","1990",40717.4831238073,
"AUS","AVWAGE","TOT","USD","A","1991",40523.5900782983,
"AUS","AVWAGE","TOT","USD","A","1992",41337.0464496447,
"AUS","AVWAGE","TOT","USD","A","1993",41717.5780272611,
"AUS","AVWAGE","TOT","USD","A","1994",42000.4197968986,
"AUS","AVWAGE","TOT","USD","A","1995",41838.9935389135,
"AUS","AVWAGE","TOT","USD","A","1996",43078.4919944507,
"AUS","AVWAGE","TOT","USD","A","1997",44367.739943346,
"AUS","AVWAGE","TOT","USD","A","1998",44997.1805104061,
"AUS","AVWAGE","TOT","USD","A","1999",46056.2170881819,
"AUS","AVWAGE","TOT","USD","A","2000",46156.0047121828,
"AUS","AVWAGE","TOT","USD","A","2001",46658.3804852012,
"AUS","AVWAGE","TOT","USD","A","2002",46979.506131264,
"AUS","AVWAGE","TOT","USD","A","2003",47529.0885545581,
"AUS","AVWAGE","TOT","USD","A","2004",49007.9772384394,
"AUS","AVWAGE","TOT","USD","A","2005",49641.4713839173,
"AUS","AVWAGE","TOT","USD","A","2006",49962.5233994728,
"AUS","AVWAGE","TOT","USD","A","2007",51341.2511054947,
"AUS","AVWAGE","TOT","USD","A","2008",51755.3025783172,
"AUS","AVWAGE","TOT","USD","A","2009",51286.0480908596,
"AUS","AVWAGE","TOT","USD","A","2010",53054.7258534218,
"AUS","AVWAGE","TOT","USD","A","2011",54732.8801607659,
"AUS","AVWAGE","TOT","USD","A","2012",55058.2119406553,
"AUS","AVWAGE","TOT","USD","A","2013",54805.6245489794,
"AUS","AVWAGE","TOT","USD","A","2014",55226.3203023977,
"AUS","AVWAGE","TOT","USD","A","2015",54773.9937610653,
"AUS","AVWAGE","TOT","USD","A","2016",54799.8625972134,
"AUS","AVWAGE","TOT","USD","A","2017",54327.0447669041,
"AUS","AVWAGE","TOT","USD","A","2018",54147.4704963865,
"AUS","AVWAGE","TOT","USD","A","2019",54401.4252961007,
"AUT","AVWAGE","TOT","USD","A","1990",42961.5273902075,
"AUT","AVWAGE","TOT","USD","A","1991",44304.4441041395,
"AUT","AVWAGE","TOT","USD","A","1992",45197.0168066897,
"AUT","AVWAGE","TOT","USD","A","1993",45565.5210898905,
"AUT","AVWAGE","TOT","USD","A","1994",46024.6070418706,
"AUT","AVWAGE","TOT","USD","A","1995",46395.3876950754,
"AUT","AVWAGE","TOT","USD","A","1996",46048.905967106,
"AUT","AVWAGE","TOT","USD","A","1997",45667.1282247395,
"AUT","AVWAGE","TOT","USD","A","1998",47134.225192324,
