LOCATION,INDICATOR_spend,SUBJECT_spend,MEASURE_spend,FREQUENCY_spend,TIME_spend,Value_spend,Flag Codes_spend,INDICATOR_salary,SUBJECT_salary,MEASURE_salary,FREQUENCY_salary,TIME_salary,Value_salary,Flag Codes_salary,spend/salary,fraction_spends,num rses_spends,INDICATOR_rschrs,SUBJECT_rschrs,MEASURE_rschrs,FREQUENCY_rschrs,TIME_rschrs,Value_rschrs,Flag Codes_rschrs,INDICATOR_pop,SUBJECT_pop,MEASURE_pop,FREQUENCY_pop,TIME_pop,Value_pop,Flag Codes_pop,tot_researchers,fraction_researchers,num rses_researchers
CHN,GDEXPRD,TOT,MLN_USD,A,2017.0,429092.372123576,,AVWAGE,TOT,USD,,2017,11423.0754349788,,37.56364689754606,36.15184499248945,510086.0,RESEARCHER,TOT,1000000EMPLOYED,A,2017.0,2241.6823802163794,,POP,TOT,MLN_PER,A,2017.0,1409.517397,,3159690.3134633554,5.183306672136814,73134.0
USA,GDEXPRD,TOT,MLN_USD,A,2017.0,533313.134148486,,AVWAGE,TOT,USD,A,2017,63734.3421531558,,8.367751452849648,8.053255699165383,113628.0,RESEARCHER,TOT,1000000EMPLOYED,A,2017.0,9225.07085940666,,POP,TOT,MLN_PER,A,2017.0,325.14712099999997,,2999505.230957071,4.920531423754472,69426.0
JPN,GDEXPRD,TOT,MLN_USD,A,2017.0,169213.421444507,,AVWAGE,TOT,USD,A,2017,38084.7105713247,,4.443080147021353,4.276090263611132,60334.0,RESEARCHER,TOT,1000000EMPLOYED,A,2017.0,10018.992311224998,,POP,TOT,MLN_PER,A,2017.0,126.70621000000001,,1269468.54377446,2.0824967386761193,29383.0
RUS,,,,,,,,,,,,,,,,,,RESEARCHER,TOT,1000000EMPLOYED,A,2017.0,5691.788288686001,,POP,TOT,MLN_PER,A,2017.0,144.496738,,822444.8411017293,1.3491777387747892,19036.0
DEU,GDEXPRD,TOT,MLN_USD,A,2017.0,125175.464471787,,AVWAGE,TOT,USD,A,2017,52181.30995468349,,2.398856306606614,2.308697065336419,32575.0,RESEARCHER,TOT,1000000EMPLOYED,A,2017.0,9483.298680166341,,POP,TOT,MLN_PER,A,2017.0,82.656997,,783860.9905566132,1.2858829503219242,18143.0
KOR,GDEXPRD,TOT,MLN_USD,A,2017.0,88147.6873274643,,AVWAGE,TOT,USD,A,2017,39551.532962055695,,2.228679414576168,2.1449161460138546,30264.0,RESEARCHER,TOT,1000000EMPLOYED,A,2017.0,14429.974797969,,POP,TOT,MLN_PER,A,2017.0,51.446201,,742367.3838812476,1.217814859150135,17183.0
FRA,GDEXPRD,TOT,MLN_USD,A,2017.0,61962.0258685829,,AVWAGE,TOT,USD,A,2017,46162.806247292196,,1.342249982305126,1.2918025087877352,18227.0,RESEARCHER,TOT,1000000EMPLOYED,A,2017.0,10622.584584440801,,POP,TOT,MLN_PER,A,2017.0,66.82956300000001,,709902.6857087155,1.1645582200644686,16431.0
GBR,GDEXPRD,TOT,MLN_USD,A,2017.0,48308.3087381953,,AVWAGE,TOT,USD,A,2017,46492.6766593222,,1.0390520015050382,1.0,14110.0,RESEARCHER,TOT,1000000EMPLOYED,A,2017.0,9230.58112293229,,POP,TOT,MLN_PER,A,2017.0,66.04022900000001,,609589.6911615257,1.0,14110.0
ITA,GDEXPRD,TOT,MLN_USD,A,2017.0,31627.984125837796,,AVWAGE,TOT,USD,A,2017,38706.9587133021,,0.8171136451226397,0.7864030327058446,11096.0,RESEARCHER,TOT,1000000EMPLOYED,A,2017.0,5584.22805042505,,POP,TOT,MLN_PER,A,2017.0,60.536713,,338050.81081513077,0.5545546713085014,7825.0
TUR,,,,,,,,,,,,,,,,,,RESEARCHER,TOT,1000000EMPLOYED,A,2017.0,4015.0722280138098,,POP,TOT,MLN_PER,A,2017.0,80.312708,,322461.32344738254,0.5289809327860476,7464.0
